"ensembl_gene_id","ensembl_gene_id_hg38","gene_name_hg19","gene_name_local","gene_name_hg38","mismatch_hg19","mismatch_ensembl","entrezgene_ids","refseq_status","refseq_hardcoded","ensembl_transcript_hardcoded"
"ENSG00000172175","ENSG00000172175","MALT1","MALT1","MALT1","FALSE","FALSE",10892,,,
"ENSG00000172575","ENSG00000172575","RASGRP1","RASGRP1","RASGRP1","FALSE","FALSE",10125,,,
"ENSG00000172922","ENSG00000172922","RNASEH2C","RNASEH2C","RNASEH2C","FALSE","FALSE",84153,,,
"ENSG00000172936","ENSG00000172936","MYD88","MYD88","MYD88","FALSE","FALSE",4615,,,
"ENSG00000173039","ENSG00000173039","RELA","RELA","RELA","FALSE","FALSE",5970,,,
"ENSG00000173369","ENSG00000173369","C1QB","C1QB","C1QB","FALSE","FALSE",713,,,
"ENSG00000173372","ENSG00000173372","C1QA","C1QA","C1QA","FALSE","FALSE",712,,,
"ENSG00000174405","ENSG00000174405","LIG4","LIG4","LIG4","FALSE","FALSE",3981,,,
"ENSG00000175097","ENSG00000175097","RAG2","RAG2","RAG2","FALSE","FALSE",5897,,,
"ENSG00000177084","ENSG00000177084","POLE","POLE","POLE","FALSE","FALSE",5426,,,
"ENSG00000177455","ENSG00000177455","CD19","CD19","CD19","FALSE","FALSE",930,,,
"ENSG00000177663","ENSG00000177663","IL17RA","IL17RA","IL17RA","FALSE","FALSE",23765,,,
"ENSG00000178927","ENSG00000178927","C17orf62","CYBC1","CYBC1","TRUE","FALSE",79415,,,
"ENSG00000179348","ENSG00000179348","GATA2","GATA2","GATA2","FALSE","FALSE",2624,,,
"ENSG00000179583","ENSG00000179583","CIITA","CIITA","CIITA","FALSE","FALSE",4261,,,
"ENSG00000180644","ENSG00000180644","PRF1","PRF1","PRF1","FALSE","FALSE",5551,,,
"ENSG00000181830","ENSG00000181830","SLC35C1","SLC35C1","SLC35C1","FALSE","FALSE",55343,,,
"ENSG00000182117","ENSG00000182117","NOP10","NOP10","NOP10","FALSE","FALSE",55505,,,
